TeamName,IGFollowers,XFollowers,IGDate,XDate,TotalFollowers
Boston Celtics,7100000,4160000,3/1/23,10/1/23,11260000
Brooklyn Nets,4700000,2040000,3/1/23,10/1/23,6740000
New York Knicks,3600000,2460000,3/1/23,10/1/23,6060000
Philadelphia 76ers,3800000,2340000,3/1/23,10/1/23,6140000
Toronto Raptors,3900000,2580000,3/1/23,10/1/23,6480000
Chicago Bulls,9300000,4730000,3/1/23,10/1/23,14030000
Cleveland Cavaliers,14700000,3300000,3/1/23,10/1/23,18000000
Detroit Pistons,1400000,1120000,3/1/23,10/1/23,2520000
Indiana Pacers,2700000,1440000,3/1/23,10/1/23,4140000
Milwaukee Bucks,500000,2020000,3/1/23,10/1/23,2520000
Atlanta Hawks,2300000,1580000,3/1/23,10/1/23,3880000
Charlotte Hornets,2200000,1210000,3/1/23,10/1/23,3410000
Miami Heat,6000000,5060000,3/1/23,10/1/23,11060000
Orlando Magic,1600000,1630000,3/1/23,10/1/23,3230000
Washington Wizards,1400000,1260000,3/1/23,10/1/23,2660000
Denver Nuggets,1900000,1430000,3/1/23,10/1/23,3330000
Minnesota Timberwolves,2700000,1250000,3/1/23,10/1/23,3950000
Oklahoma City Thunder,5500000,2800000,3/1/23,10/1/23,8300000
Portland Trail Blazers,2700000,1550000,3/1/23,10/1/23,4250000
Utah Jazz,1200000,1280000,3/1/23,10/1/23,2480000
Golden State Warriors,28300000,8450000,3/1/23,10/1/23,36750000
Los Angeles Clippers,4600000,2020000,3/1/23,10/1/23,6620000
Los Angeles Lakers,21500000,11880000,3/1/23,10/1/23,33380000
Phoenix Suns,2900000,1750000,3/1/23,10/1/23,4650000
Sacramento Kings,1900000,1250000,3/1/23,10/1/23,3150000
Dallas Mavericks,3400000,2250000,3/1/23,10/1/23,5650000
Houston Rockets,5900000,3240000,3/1/23,10/1/23,9140000
Memphis Grizzlies,1600000,1610000,3/1/23,10/1/23,3210000
New Orleans Pelicans,2600000,1370000,3/1/23,10/1/23,3970000
San Antonio Spurs,4400000,3520000,3/1/23,10/1/23,7920000
